province,gst,pst
AB,0.05,0.00
BC,0.05,0.07
MB,0.05,0.07
NB,0.05,0.10
NL,0.05,0.10
NS,0.05,0.10
NT,0.05,0.00
NU,0.05,0.00
ON,0.05,0.08
PE,0.05,0.10
QC,0.05,0.10
SK,0.05,0.06
YT,0.05,0.00
